REPORTING_DATE,PARTNER_ID,LOAN_ID,PRODUCT,STATUS,EXPOSURE_DRAWN,EXPOSURE_UNDRAWN,EXPOSURE,EAD,EAD_COLL,PD,LGD,SIZE,MATURITY,F_LARGE_FIN,RW,RWA
2022-12-31,kogia646be8566,1043897616ttpj67,REVOLVING,Performing,75441.50817,0.0,75441.50817,76495.88104,0.0,0.0139494,0.631,1.006268551,1.0,N,0.972584198,74398.68512
2022-12-31,xrsjj576wu4077,1392122163rtna97,CREDIT_CARD,Performing,1415.313473,4358.366896,5773.680369,3216.84699,0.0,0.0312028,0.549,2.011616878,1.0,N,1.092165271,3513.328565
2022-12-31,mjuii603zv1805,3318115522zvvr38,REVOLVING,Performing,957253.5418,0.0,957253.5418,965866.2756,273621.0441,0.0463113,0.452243496,3.409442145,1.0,N,1.023496488,988560.7408
2022-12-31,ddqvz180gf8889,6408025494lhbw99,REVOLVING,Performing,190959.0099,47877.7265,238836.7364,220644.5983,0.0,0.0039485,0.631,2.271581088,2.80821918,N,0.771087881,170136.3758
2022-12-31,smqms648jl2060,5414439967fydk21,CREDIT_CARD,Performing,7836.511366,30663.40484,38499.91621,20410.65783,0.0,0.025103,0.7026,49.10931026,1.08219178,N,1.721307734,35133.02318
2022-12-31,lzilz774fh7826,1909358886aqgg90,CREDIT_CARD,Performing,533.6451395,17034.29183,17567.93697,7498.437164,0.0,0.0090428,0.549,446.1906111,1.58082192,N,1.000925072,7505.373759
2022-12-31,minbb942yw3375,8279456895kbhc95,INVESTMENT,Performing,1383346.999,0.0,1383346.999,1385697.91,1385697.91,0.006774,0.0,14.83958542,1.0,N,0.0,0.0
2022-12-31,keuyc280de3039,2387132383hebk72,CREDIT_CARD,Performing,93.99355266,3651.988495,3745.982048,1590.067175,0.0,0.0284771,0.549,24.97036775,1.91780822,N,1.338054492,2127.596526
2022-12-31,tjfwh713ct6083,6742205685xmhg57,CREDIT_CARD,Performing,441.7677824,1473.810479,1915.578262,1046.540072,0.0,0.0228939,0.549,133.4048912,1.0,N,1.297109815,1357.477399
2022-12-31,zlzjt751qi7115,4646964529hwvn23,CREDIT_CARD,Performing,0.0,5618.441629,5618.441629,2296.254065,0.0,0.0030141,0.549,19.28980468,1.58356164,N,0.496877663,1140.957354
2022-12-31,ogzop504sv4984,5201015467qllo49,DEBIT_CARD,Performing,682559.5482,66961.52016,749521.0684,725171.2802,512130.6703,0.0308314,0.14697799,1.810547214,2.5,N,0.340076143,246613.4522
2022-12-31,xhjcn148tt1182,5973941287kvgq98,CREDIT_CARD,Performing,0.411748448,3745.627752,3746.039501,1577.322124,0.0,0.0022528,0.549,1.205497758,1.83013699,N,0.411749125,649.4610048
2022-12-31,qunqy306of3238,2884025977itxr20,REVOLVING,Performing,0.0,143633.1795,143633.1795,79974.95434,0.0,0.3715155,0.631,9.321902557,3.71780822,N,3.18987786,255110.3362
